Model,Scenario,Region,Year,Residues,Energy_crops,Waste,Solid_total,Prim_eng_bio,Unit,Share_energy_crops,Source,Estimation
GLOBIOM,SSP1-26,World,2070,,88.95147338,,102.3566391,,EJ/yr,0.87,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-26,World,2080,,110.1801612,,132.5742843,,EJ/yr,0.83,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-26,World,2090,,127.398067,,159.3125374,,EJ/yr,0.8,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-26,World,2100,,140.955321,,181.756321,,EJ/yr,0.78,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-34,World,2020,,15.85057011,,45.55865995,,EJ/yr,0.35,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-34,World,2030,,21.51857011,,35.51299412,,EJ/yr,0.61,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-34,World,2040,,28.18257011,,33.53623451,,EJ/yr,0.84,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-34,World,2050,,37.53318695,,42.80320674,,EJ/yr,0.88,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-34,World,2060,,49.81991446,,55.2164473,,EJ/yr,0.9,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-34,World,2070,,66.87491446,,72.90721378,,EJ/yr,0.92,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-34,World,2080,,84.73291446,,91.801358,,EJ/yr,0.92,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-34,World,2090,,103.8309145,,115.392953,,EJ/yr,0.9,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-34,World,2100,,120.4376625,,137.6035944,,EJ/yr,0.88,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-45,World,2020,,15.84957011,,45.58565995,,EJ/yr,0.35,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-45,World,2030,,19.34157011,,33.66277903,,EJ/yr,0.57,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-45,World,2040,,26.26357011,,31.91914042,,EJ/yr,0.82,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-45,World,2050,,33.21218695,,38.57582969,,EJ/yr,0.86,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-45,World,2060,,40.06190792,,45.46793841,,EJ/yr,0.88,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-45,World,2070,,50.28101276,,55.78296779,,EJ/yr,0.9,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-45,World,2080,,62.67301276,,68.23472631,,EJ/yr,0.92,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-45,World,2090,,77.85720373,,84.02028397,,EJ/yr,0.93,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-45,World,2100,,90.77750992,,97.44006935,,EJ/yr,0.93,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-60,World,2020,,15.84957011,,45.58565995,,EJ/yr,0.35,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-60,World,2030,,19.34157011,,33.6617792,,EJ/yr,0.57,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-60,World,2040,,23.75657011,,29.41799071,,EJ/yr,0.81,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-60,World,2050,,31.26018149,,36.66672702,,EJ/yr,0.85,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-60,World,2060,,38.17291446,,43.56565725,,EJ/yr,0.88,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-60,World,2070,,45.32501276,,50.77761602,,EJ/yr,0.89,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-60,World,2080,,51.75801276,,57.29393784,,EJ/yr,0.9,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-60,World,2090,,57.46201276,,63.10666989,,EJ/yr,0.91,Internal document,Share = (Energy crops / Solid total bioenergy)
